Term,Estimate,Std Error,P. Val.
Intercept,726.6267,323.9276,0.0249
year,-0.3589,0.1605,0.0253
month,-0.0881,0.0232,0.0001
day,0.0078,0.0081,0.3308
weekday,0.2616,0.0473,<.0001
