case_id,case_arrival,burn_in_period,case_arrival_dt,case_assigned,resource,case_topic,initial_delay,est_NPS_priority,est_NPS,est_throughput_time,event_no,activity,activity_start,activity_end,activity_start_dt,activity_end_dt,activity_start_delay,activity_end_delay,duration,duration_delayed,case_status,F_priority_scheme,F_number_of_agents,seed,simulated_NPS,simulated_NPS_priority,simulated_throughput_time
0,1.0091868699359205,False,07/02/2018 00:13:13,1.0104166666666667,0,1,0.3241531300640794,1.05819975957,8.55819975957,0.7512383015347259,1,Interaction,1.33334,1.6593790820105059,01/02/2018 08:00:00,01/02/2018 15:49:30,0.3229233333333333,0,0.326039082010506,0.3229233333333333,closed,LRTF,2,42,9,1.208786719747982,1.6484823497581116
0,1.0091868699359205,False,07/02/2018 00:13:13,1.0104166666666667,0,1,0.3241531300640794,1.05819975957,8.55819975957,0.7512383015347259,2,Email,1.6593790820105059,2.071482661044012,01/02/2018 15:49:30,01/03/2018 01:42:56,0.0,0,0.41210357903350603,0.0,closed,LRTF,2,42,9,1.208786719747982,1.6484823497581116
0,1.0091868699359205,False,07/02/2018 00:13:13,1.0104166666666667,0,1,0.3241531300640794,1.05819975957,8.55819975957,0.7512383015347259,3,END,2.33334,2.657669219694032,01/03/2018 08:00:00,01/03/2018 15:47:02,0.261857338955988,0,0.32432921969403194,0.261857338955988,closed,LRTF,2,42,9,1.208786719747982,1.6484823497581116
1,1.1914681346596627,False,07/02/2018 04:35:42,1.197916666666668,1,1,0.14187186534033724,1.0334925980899996,8.53349259809,0.9749389412273891,1,Interaction,1.33334,1.8015018691548486,01/02/2018 08:00:00,01/02/2018 19:14:09,0.13542333333333195,0,0.46816186915484853,0.13542333333333195,closed,LRTF,2,42,5,2.0015017799659223,1.7906059717535217
1,1.1914681346596627,False,07/02/2018 04:35:42,1.197916666666668,1,1,0.14187186534033724,1.0334925980899996,8.53349259809,0.9749389412273891,2,Interaction,2.3333399999999997,2.7437731573546658,01/03/2018 08:00:00,01/03/2018 17:51:02,0.5318381308451514,0,0.4104331573546661,0.5318381308451514,closed,LRTF,2,42,5,2.0015017799659223,1.7906059717535217
1,1.1914681346596627,False,07/02/2018 04:35:42,1.197916666666668,1,1,0.14187186534033724,1.0334925980899996,8.53349259809,0.9749389412273891,3,END,2.7437731573546658,2.9820741064131844,01/03/2018 17:51:02,01/03/2018 23:34:11,0.0,0,0.23830094905851873,0.0,closed,LRTF,2,42,5,2.0015017799659223,1.7906059717535217
4,1.5728625521467208,False,07/02/2018 13:44:55,2.020833333333333,1,2,1.7604774478532794,0.9779014847600003,8.47790148476,1.7522932872119432,1,Interaction,3.33334,3.7067675410679155,01/04/2018 08:00:00,01/04/2018 16:57:44,0.35126589358681565,0,0.3734275410679153,0.35126589358681565,closed,LRTF,2,42,5,2.6352680702997926,3.5178067700139914
4,1.5728625521467208,False,07/02/2018 13:44:55,2.020833333333333,1,2,1.7604774478532794,0.9779014847600003,8.47790148476,1.7522932872119432,2,Email,3.7067675410679155,4.129400340305276,01/04/2018 16:57:44,01/05/2018 03:06:20,0.0,0,0.4226327992373605,0.0,closed,LRTF,2,42,5,2.6352680702997926,3.5178067700139914
4,1.5728625521467208,False,07/02/2018 13:44:55,2.020833333333333,1,2,1.7604774478532794,0.9779014847600003,8.47790148476,1.7522932872119432,3,Email,4.33334,4.629363840333346,01/05/2018 08:00:00,01/05/2018 15:06:17,0.2039396596947241,0,0.2960238403333462,0.2039396596947241,closed,LRTF,2,42,5,2.6352680702997926,3.5178067700139914
4,1.5728625521467208,False,07/02/2018 13:44:55,2.020833333333333,1,2,1.7604774478532794,0.9779014847600003,8.47790148476,1.7522932872119432,4,END,4.629363840333346,5.090669322160712,01/05/2018 15:06:17,01/06/2018 02:10:33,0.0,0,0.46130548182736636,0.0,closed,LRTF,2,42,5,2.6352680702997926,3.5178067700139914
5,1.8340716174992737,False,07/02/2018 20:01:03,2.020833333333333,0,1,0.8235976021947584,0.9346639521700002,8.43466395217,2.764446497987486,1,Interaction,2.657669219694032,3.0153578839539663,01/03/2018 15:47:02,01/04/2018 00:22:06,0.0,0,0.3576886642599341,0.0,closed,LRTF,2,42,5,2.684751582106358,2.870539866593494
5,1.8340716174992737,False,07/02/2018 20:01:03,2.020833333333333,0,1,0.8235976021947584,0.9346639521700002,8.43466395217,2.764446497987486,2,Email,3.33334,3.728352864892553,01/04/2018 08:00:00,01/04/2018 17:28:49,0.3179821160460337,0,0.39501286489255244,0.3179821160460337,closed,LRTF,2,42,5,2.684751582106358,2.870539866593494
5,1.8340716174992737,False,07/02/2018 20:01:03,2.020833333333333,0,1,0.8235976021947584,0.9346639521700002,8.43466395217,2.764446497987486,3,Email,3.728352864892553,4.138177839524879,01/04/2018 17:28:49,01/05/2018 03:18:58,0.0,0,0.4098249746323257,0.0,closed,LRTF,2,42,5,2.684751582106358,2.870539866593494
5,1.8340716174992737,False,07/02/2018 20:01:03,2.020833333333333,0,1,0.8235976021947584,0.9346639521700002,8.43466395217,2.764446497987486,4,END,4.33334,4.7046114840927675,01/05/2018 08:00:00,01/05/2018 16:54:38,0.1951621604751213,0,0.37127148409276817,0.1951621604751213,closed,LRTF,2,42,5,2.684751582106358,2.870539866593494
7,2.76567294796963,False,07/03/2018 18:22:34,10.020833333333332,1,6,7.909279057997308,0.9470497876900001,8.44704978769,2.426003851333436,5,Email,14.686534242358299,14.952649269012628,01/15/2018 16:28:36,01/15/2018 22:51:48,0.0,0,0.2661150266543288,0.0,closed,LRTF,2,42,4,3.542900038444791,12.941096148043068
