Term,Estimate,Std Error,P. Val.
Intercept,2.3006,0.0430,<.0001
Log[case_throughputtime+1],-0.0098,0.0052,0.059
case_topic[d_2-z_4],-0.1291,0.1049,0.2183
case_topic[g_1-z_4],0.1008,0.0481,0.0362
case_topic[j_1-z_4],0.0853,0.0433,0.049
case_topic[q_3-z_4],-0.0427,0.0549,0.4359
case_topic[r_2-z_4],-0.0317,0.0848,0.7088
case_topic[w_1-z_4],0.0000,0.0000,1
case_topic[w_2-z_4],0.0000,0.0000,1
case_topic[z_2-z_4],0.0967,0.0509,0.0577
case_topic[z_3-z_4],-0.0048,0.0484,0.9217
